title,authors,publisher,publicationYear,contentType,domain,url
Association of Architecture Schools in Australasia,,Unknown Publisher,2007,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/30724
Drawing Futures,,Unknown Publisher,2016,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/30569
Art and Architecture of Ireland Volume IV: Architecture 1600-2000,,Unknown Publisher,2015,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/116191
PAINTING THE SKY BLACK,"Sauter, Florian",Unknown Publisher,2018,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/94070
Routledge Critical Companion to Race and Architecture,"James-Chakraborty, Kathleen",Unknown Publisher,2025,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/173053
Routledge Critical Companion to Race and Architecture,"James-Chakraborty, Kathleen",Unknown Publisher,2025,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/174151
Mobility Design,,Unknown Publisher,2022,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/97761
SMOTIES TOOLBOX,,Unknown Publisher,2024,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/152408
Analogical City,"McEwan, Cameron",Unknown Publisher,2024,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/133104
Berlin & Berlin,"Kunst, Friedemann",Unknown Publisher,2021,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/132971
The Hybrid Practitioner,,Unknown Publisher,2022,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/91614
Expanding Fields of Architectural Discourse and Practice,,Unknown Publisher,2020,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/74759
Resisting Postmodern Architecture,"Giamarelos, Stylianos",Unknown Publisher,2022,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/74796
Architectural Thinking in a Climate Emergency,,Unknown Publisher,2025,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/166790
Women and Architectural History,,Unknown Publisher,2025,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/139171
The Covert Life of Hospital Architecture,,Unknown Publisher,2022,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/90758
Leberecht Migge „Überall Gärten! Für alle!“,"von Schwerin, Sophie, Lerch, Gabi, Karn, Susanne",Unknown Publisher,2024,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/139025
Chapter 1 Introduction to European Union Taxonomy,"Rynska, Elzbieta",Unknown Publisher,2025,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/151293
Embedding Resilience in the Built Environment Using the EU Taxonomy,,Unknown Publisher,2025,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/152141
Toward a Living Architecture?,"Cogdell, Christina",Unknown Publisher,2018,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/115835
Architecture's Model Environments,"Moffitt, Lisa",Unknown Publisher,2023,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/97862
Religious Architecture,,Unknown Publisher,2013,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/25904
The Art of Spatial Illusion,"Koeck, Richard",Unknown Publisher,2025,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/148274
Les Monuments d'art et d'histoire du canton du Valais V,"Cassina, Gaëtan",Unknown Publisher,2021,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/139743
Lager als Architektur,"Senarclens de Grancy, Antje",Unknown Publisher,2024,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/152380
Œ Case Files,,Unknown Publisher,2021,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/69784
Architecture in Oceania (1840-1970),,Unknown Publisher,2025,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/168822
China's Architecture in a Globalizing World: Between Socialism and the Market,"Han, Jiawen",Unknown Publisher,2018,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/72288
Chapter Introduction,"Zhao, Wei",Unknown Publisher,2023,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/93492
Home Beyond the House,"Zhao, Wei",Unknown Publisher,2023,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/93485
Inhabited Machines,"Gleich, Moritz",Unknown Publisher,2022,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/96515
